"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
112,Red soil,12C,1,4,"1,73653 ","2,35E+03","3,92E+03","1,07E+02"
113,Red soil,12C,1,5,"1,73317 ","3,14E+03","5,82E+03","2,35E+02"
114,Red soil,12C,1,6,"1,72981 ","1,80E+03","2,36E+03","5,04E+01"
115,Red soil,12C,1,7,"1,72644 ","5,17E+03","1,58E+04","2,60E+02"
116,Red soil,12C,1,8,"1,72308 ","1,61E+04","6,67E+04","1,92E+03"
117,Red soil,12C,1,9,"1,71972 ","3,28E+04","4,68E+05","4,97E+03"
118,Red soil,12C,1,10,"1,71524 ","1,76E+05","2,21E+06","3,89E+04"
119,Red soil,12C,1,11,"1,71300 ","1,23E+06","3,66E+06","1,41E+05"
120,Red soil,12C,1,12,"1,70852 ","1,62E+06","2,79E+06","1,62E+05"
121,Red soil,12C,1,13,"1,70516 ","1,82E+06","1,03E+06","9,95E+04"
122,Red soil,12C,1,14,"1,70180 ","1,54E+06","1,76E+05","1,47E+04"
123,Red soil,12C,1,15,"1,69844 ","1,30E+06","5,07E+04","9,58E+03"
124,Red soil,12C,1,16,"1,69508 ","2,34E+05","2,02E+04","4,76E+03"
125,Red soil,12C,1,17,"1,69284 ","4,46E+04","2,98E+04","2,09E+03"
126,Red soil,12C,1,18,"1,68276 ","4,39E+04","4,57E+04","4,55E+03"
127,Red soil,12C,2,1,"1,74101 ","1,78E+03","1,75E+03","7,38E+01"
128,Red soil,12C,2,2,"1,73989 ","1,84E+03","1,63E+03","1,52E+02"
129,Red soil,12C,2,3,"1,73877 ","1,48E+03","1,80E+03","7,82E+01"
130,Red soil,12C,2,4,"1,73653 ","1,82E+03","1,57E+03","1,95E+02"
131,Red soil,12C,2,5,"1,73317 ","2,06E+03","3,15E+03","2,64E+02"
132,Red soil,12C,2,6,"1,72981 ","1,38E+03","2,70E+03","6,76E+01"
133,Red soil,12C,2,7,"1,72644 ","3,38E+03","1,02E+04","4,56E+02"
134,Red soil,12C,2,8,"1,72308 ","3,46E+03","2,74E+04","5,95E+02"
135,Red soil,12C,2,9,"1,71860 ","1,55E+04","2,91E+05","4,07E+03"
136,Red soil,12C,2,10,"1,71748 ","1,30E+05","1,81E+06","3,90E+04"
137,Red soil,12C,2,11,"1,71412 ","7,22E+05","2,12E+06","1,00E+05"
138,Red soil,12C,2,12,"1,71076 ","1,60E+06","2,59E+06","1,58E+05"
139,Red soil,12C,2,13,"1,70740 ","8,29E+05","6,19E+05","4,83E+04"
140,Red soil,12C,2,14,"1,70404 ","7,82E+05","1,68E+05","2,73E+04"
141,Red soil,12C,2,15,"1,70068 ","8,01E+05","5,18E+04","9,56E+03"
142,Red soil,12C,2,16,"1,69732 ","1,16E+05","1,93E+04","3,04E+03"
143,Red soil,12C,2,17,"1,69508 ","1,05E+04","1,36E+04","2,42E+02"
144,Red soil,12C,2,18,"1,68388 ","3,64E+03","8,49E+03","1,06E+02"
145,Red soil,12C,3,1,"1,74213 ","1,46E+03","2,57E+03","2,29E+02"
146,Red soil,12C,3,2,"1,74101 ","2,38E+03","2,26E+03","2,15E+02"
147,Red soil,12C,3,3,"1,73989 ","2,19E+03","3,45E+03","1,50E+02"
148,Red soil,12C,3,4,"1,73765 ","2,26E+03","3,23E+03","1,02E+02"
149,Red soil,12C,3,5,"1,73429 ","3,25E+03","4,94E+03","3,60E+02"
150,Red soil,12C,3,6,"1,73093 ","5,17E+03","8,67E+03","4,09E+02"
151,Red soil,12C,3,7,"1,72756 ","6,55E+03","1,75E+04","7,00E+02"
152,Red soil,12C,3,8,"1,72308 ","1,24E+04","5,39E+04","1,03E+03"
153,Red soil,12C,3,9,"1,72084 ","2,33E+04","3,09E+05","4,03E+03"
154,Red soil,12C,3,10,"1,71748 ","7,00E+04","1,76E+06","1,49E+04"
155,Red soil,12C,3,11,"1,71300 ","9,17E+05","3,85E+06","1,24E+05"
156,Red soil,12C,3,12,"1,70964 ","2,16E+06","3,04E+06","1,23E+05"
157,Red soil,12C,3,13,"1,70628 ","1,75E+06","7,70E+05","6,00E+04"
158,Red soil,12C,3,14,"1,70292 ","1,50E+06","1,43E+05","2,46E+04"
159,Red soil,12C,3,15,"1,70068 ","5,84E+05","3,60E+04","3,65E+03"
160,Red soil,12C,3,16,"1,69732 ","1,04E+05","2,10E+04","7,35E+02"
161,Red soil,12C,3,17,"1,69508 ","3,11E+04","3,24E+04","7,03E+02"
162,Red soil,12C,3,18,"1,68500 ","1,54E+04","4,49E+04","7,31E+02"
163,Red soil,13C,1,1,"1,74101 ","6,46E+03","3,10E+03","1,06E+02"
164,Red soil,13C,1,2,"1,74101 ","5,17E+03","2,67E+03","1,44E+02"
165,Red soil,13C,1,3,"1,73877 ","2,53E+04","1,60E+04","2,07E+02"
166,Red soil,13C,1,4,"1,73653 ","1,67E+05","6,62E+04","5,92E+02"
167,Red soil,13C,1,5,"1,73429 ","4,71E+05","1,19E+05","2,69E+03"
168,Red soil,13C,1,6,"1,73093 ","5,72E+05","9,62E+04","4,40E+03"
169,Red soil,13C,1,7,"1,72756 ","4,10E+05","4,75E+04","1,67E+03"
170,Red soil,13C,1,8,"1,72420 ","5,08E+05","1,01E+05","3,43E+03"
171,Red soil,13C,1,9,"1,72084 ","2,31E+05","5,03E+05","4,65E+03"
172,Red soil,13C,1,10,"1,71636 ","9,63E+04","1,56E+06","2,41E+04"
173,Red soil,13C,1,11,"1,71300 ","4,16E+05","2,22E+06","1,06E+05"
174,Red soil,13C,1,12,"1,70964 ","6,80E+05","1,84E+06","7,20E+04"
175,Red soil,13C,1,13,"1,70628 ","6,22E+05","7,23E+05","4,24E+04"
176,Red soil,13C,1,14,"1,70292 ","2,65E+05","1,77E+05","1,22E+04"
177,Red soil,13C,1,15,"1,70068 ","8,40E+04","4,16E+04","9,11E+03"
178,Red soil,13C,1,16,"1,69732 ","7,43E+04","2,00E+04","3,95E+03"
179,Red soil,13C,1,17,"1,69508 ","2,41E+04","2,65E+04","2,04E+03"
180,Red soil,13C,1,18,"1,67940 ","1,92E+04","3,22E+04","2,11E+03"
181,Red soil,13C,2,1,"1,74101 ","2,52E+03","4,43E+03","1,32E+02"
182,Red soil,13C,2,2,"1,73989 ","4,32E+03","9,92E+03","3,56E+02"
183,Red soil,13C,2,3,"1,73877 ","7,59E+03","3,92E+04","2,88E+02"
184,Red soil,13C,2,4,"1,73653 ","6,64E+04","1,27E+05","1,60E+03"
185,Red soil,13C,2,5,"1,73317 ","9,22E+04","8,56E+04","3,02E+03"
186,Red soil,13C,2,6,"1,73093 ","2,00E+05","8,90E+04","6,32E+03"
187,Red soil,13C,2,7,"1,72756 ","4,81E+05","1,01E+05","5,89E+03"
188,Red soil,13C,2,8,"1,72420 ","5,58E+05","1,74E+05","5,84E+03"
189,Red soil,13C,2,9,"1,72084 ","3,03E+05","6,69E+05","1,01E+04"
190,Red soil,13C,2,10,"1,71636 ","1,44E+05","2,26E+06","5,08E+04"
191,Red soil,13C,2,11,"1,71300 ","5,50E+05","3,82E+06","1,45E+05"
192,Red soil,13C,2,12,"1,70964 ","9,38E+05","2,19E+06","1,01E+05"
193,Red soil,13C,2,13,"1,70628 ","1,11E+06","6,07E+05","5,43E+04"
194,Red soil,13C,2,14,"1,70292 ","5,29E+05","1,91E+05","2,63E+04"
195,Red soil,13C,2,15,"1,70068 ","2,01E+05","5,56E+04","1,27E+04"
196,Red soil,13C,2,16,"1,69732 ","4,27E+04","1,93E+04","2,33E+03"
197,Red soil,13C,2,17,"1,69508 ","7,53E+03","2,34E+04","4,75E+02"
198,Red soil,13C,2,18,"1,69060 ","2,17E+04","5,92E+04","1,84E+03"
199,Red soil,13C,3,1,"1,74101 ","2,79E+03","1,51E+03","7,96E+01"
200,Red soil,13C,3,2,"1,73989 ","6,27E+03","4,54E+03","1,34E+02"
201,Red soil,13C,3,3,"1,73877 ","2,17E+04","1,90E+04","3,76E+02"
202,Red soil,13C,3,4,"1,73653 ","1,61E+05","6,41E+04","6,89E+02"
203,Red soil,13C,3,5,"1,73429 ","5,06E+05","1,20E+05","2,44E+03"
204,Red soil,13C,3,6,"1,73205 ","3,97E+05","7,64E+04","4,51E+03"
205,Red soil,13C,3,7,"1,72756 ","1,54E+06","7,28E+04","5,97E+03"
206,Red soil,13C,3,8,"1,72420 ","4,88E+05","9,02E+04","2,10E+03"
207,Red soil,13C,3,9,"1,72084 ","2,13E+05","3,50E+05","6,44E+03"
208,Red soil,13C,3,10,"1,71748 ","1,01E+05","7,81E+05","2,58E+04"
209,Red soil,13C,3,11,"1,71300 ","3,12E+05","1,46E+06","8,99E+04"
210,Red soil,13C,3,12,"1,70964 ","6,40E+05","1,88E+06","5,84E+04"
